id,name
1016,Zhou Qunfei
9006,Nicky Oppenheimer
2178,Sun Piaoyang
6065,Wu Yajun
1510,Alexei Kuzmichev
1737,Stephen Ross
3793,Vincent Bollore
9767,Pauline Macmillan Keinath
4826,Jay Y. Lee
6092,Anders Holch Povlsen
8295,Eli Broad
3179,Michael Kadoorie
3064,Iskander Makhmudov
4794,Frederik Paulsen
1296,Sun Hongbin
1570,Christy Walton
1283,Shahid Khan
4917,Ananda Krishnan
1651,Carrie Perrodo
8922,Quek Leng Chan
5422,Wang Wenxue
8076,John Doerr
4588,Patrick Drahi
6913,Eva Gonda De Rivera
5782,Willi & Isolde Liebherr
4184,Ricardo Salinas Pliego
4289,Suh Kyung-Bae
2681,Pollyanna Chu
1573,John Fredriksen
2504,Goh Cheng Liang
9265,Sri Prakash Lohia
6141,Lu Zhiqiang
5810,Jorn Rausing
7296,Johann Rupert
1599,Jacques Saade
6274,Wu Shaoxun
2477,Leonid Fedun
9961,Kim Jung-Ju
4297,Sandra Ortega Mera
1114,Jim Pattison
9441,Michael Platt
5203,Chan Laiwa
4434,David Green
1165,Hank & Doug Meijer
7162,Dmitry Rybolovlev
7853,Tsai Eng-Meng
6318,Andreas Von Bechtolsheim
8515,Oleg Deripaska
5754,Liu Yongxing
3897,Ludwig Merckle
5950,Brian Acton
2958,John Grayken
6480,Ann Walton Kroenke
5729,Augusto & Giorgio Perfetti
4310,Finn Rausing
8951,Kirsten Rausing
9895,Odd Reitan
6860,Nassef Sawiris
1775,Wee Cho Yaw
5278,Aloys Wobben
1837,Leon Black
4554,Ivan Glasenberg
9473,John Paulson
5468,Wei Jianjun
7049,Francis Choi
6095,Erivan Haub
2891,Jason Jiang
6129,Suleiman Kerimov
1382,Ian & Richard Livingstone
6530,Pang Kang
9732,David Shaw
4331,Kushal Pal Singh
2303,John A. Sobrato
8915,Acharya Balkrishna
3814,Guenther Fielmann
9264,Daniel Gilbert
4634,Antonia Johnson
8281,Vikram Lal
2711,Akira Mori
4098,Maria-Elisabeth Schaeffler-Thumann
7064,Albert Frere
6628,Richard Kinder
2068,Robert Kraft
2922,Ralph Lauren
1453,Bruno Schroder
3196,Nusli Wadia
9251,Pierre Bellon
7414,Les Wexner
5105,Benu Gopal Bangur
5517,David Cheriton
7625,Ma Jianrong
9568,Whitney Macmillan
5187,Dan Olsson
5169,Vivek Chaand Sehgal
7998,Teh Hong Piow
1660,Abdulla Bin Ahmad Al Ghurair
4225,Maria Asuncion Aramburuzabala
5993,Ralph Dommermuth
2593,Frank Lowy
5024,Wolfgang Marguerre
6547,Marijke Mars
7529,Pamela Mars
7600,Valerie Mars
6098,Victoria Mars
2415,David & Frederick Barclay
7914,"John Gokongwei, Jr."
5768,Kwon Hyuk-Bin
8086,Nancy Walton Laurie
7856,Lin Yu-Ling
1087,Tom & Judy Love
1541,Robert Rowling
3036,Dennis Washington
8838,Yao Liangsong
2112,Zhang Jindong
6174,Juan Francisco Beckmann Vidal
3776,David Sun
4139,John Tu
8353,Martin Viessmann
1990,Stef Wertheimer
4245,Hansjoerg Wyss
8186,James Dyson
2547,Laurence Graff
6775,Jen-Hsun Huang
6801,Charles Johnson
4585,Jerry Jones
5178,Kei Hoi Pang
7478,Kwee Family
9405,Lee Shin Cheng
5985,Richard Lefrak
4550,Shigenobu Nagamori
1121,Steven Rales
8266,Friede Springer
2685,Yeung Kin-Man
6830,Rinat Akhmetov
9828,Shari Arison
5218,Dannine Avara
9281,Rahel Blocher
7698,Andrew Currie
2957,Scott Duncan
8952,Milane Frantz
5666,Diane Hendricks
1821,Magdalena Martullo-Blocher
6133,Hiroshi Mikitani
2378,Gabe Newell
1081,Pan Sutong
5346,Anthony Pratt
1489,John Reece
5653,Randa Williams
6478,Zhang Bangxin
6218,Zhang Shiping
1395,Jean-Michel Besnier
7388,Marie Besnier Beauvalot
3689,Richard Devos
2185,Michael Herz
1960,Wolfgang Herz
1769,Kjeld Kirk Kristiansen
6025,Sofie Kirk Kristiansen
9345,Thomas Kirk Kristiansen
6946,Lam Wai Ying
8092,Lin Xiucheng
1479,Margarita Louis-Dreyfus
9437,George Roberts
9620,"Edward Roski, Jr."
3822,Agnete Kirk Thinggaard
7466,Mike Adenuga
7086,Jim Davis
6696,David Filo
4163,Pansy Ho
4305,Henry Kravis
3283,Emanuele (Lino) Saputo
7775,Xu Chuanhua
5938,Alexander Abramov
5104,Israel Englander
5213,Frits Goldschmeding
1385,Marian Ilitch
5296,Bruce Kovner
4212,George Lucas
3876,Kalanithi Maran
5373,Elisabeth Mohn
7499,"Robert Rich, Jr."
3257,Wang Chuanfu
9073,Maria Fernanda Amorim
7185,Pyotr Aven
8588,Bernard Marcus
5561,Pedro Moreira Salles
5695,Frederick Smith
2969,Ronda Stryker
4846,Richard Branson
1192,Subhash Chandra
1638,Denise Coates
2337,Martha Ingram
5623,Law Kar Po
7401,Joe Lewis
7891,Gabriella Meister
9465,Fernando Roberto Moreira Salles
1526,Joao Moreira Salles
1653,Walther Moreira Salles Junior
2006,Pankaj Patel
7571,Karen Pritzker
1805,Thomas Schmidheiny
8493,Vichai Srivaddhanaprabha
2786,Keiichiro Takahara
8109,M.A. Yusuff Ali
