id,name,age,gender,country,image,Sector,Company,Worth(BUSD),accuracy
5316,Beate Heister & Karl Albrecht Jr.,66.0,Female,Germany,https://specials-images.forbesimg.com/imageserve/5a7e087531358e4955ad0cfe/416x416.jpg?background=000000&cropX1=19&cropX2=2172&cropY1=186&cropY2=2340,Fashion & Retail,supermarkets,29.8,0.98
9123,Phil Knight,80.0,Male,United States,https://specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972,Fashion & Retail,Nike,29.6,
4229,Jorge Paulo Lemann,78.0,Male,Brazil,https://specials-images.forbesimg.com/imageserve/5a7b803c4bbe6f2652f4ef67/416x416.jpg?background=000000&cropX1=794&cropX2=3457&cropY1=6&cropY2=2667,Food and Beverage,beer,27.4,
1613,Francois Pinault,81.0,Male,France,https://specials-images.forbesimg.com/imageserve/5a7def27a7ea431690131b94/416x416.jpg?background=000000&cropX1=12&cropX2=2668&cropY1=208&cropY2=2866,Fashion & Retail,luxury goods,27.0,
2835,Georg Schaeffler,53.0,Male,Germany,https://specials-images.forbesimg.com/imageserve/5a7e12b631358e4955ad0fb2/416x416.jpg?background=000000&cropX1=835&cropX2=3880&cropY1=0&cropY2=3042,Automotive,auto parts,25.3,
1282,Susanne Klatten,56.0,Female,Germany,https://specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236,Automotive,"BMW, pharmaceuticals",25.0,
2683,David Thomson,61.0,Male,,https://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=566&cropX2=3532&cropY1=6&cropY2=2972,Media & Entertainment,media,25.0,0.99
4560,Jacqueline Mars,78.0,Female,,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889,Food and Beverage,"candy, pet food",23.6,
9516,John Mars,82.0,Male,,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889,Food and Beverage,"candy, pet food",23.6,0.99
8944,Joseph Safra,79.0,Male,Brazil,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502,Finance and Investments,banking,23.5,
2489,Giovanni Ferrero,53.0,Male,Italy,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502,Food and Beverage,"Nutella, chocolates",23.0,0.99
5726,Dietrich Mateschitz,74.0,Male,Austria,https://specials-images.forbesimg.com/imageserve/5a7b6c3831358e4955acdba2/416x416.jpg?background=000000&cropX1=790&cropX2=3611&cropY1=12&cropY2=2832,Food and Beverage,Red Bull,23.0,1.0
9977,Michael Dell,53.0,Male,United States,https://specials-images.forbesimg.com/imageserve/58c1d2e731358e1a35acba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=163&cropY2=907,Technology,Dell computers,22.7,
1598,Masayoshi Son,60.0,Male,Japan,https://specials-images.forbesimg.com/imageserve/5ac24da531358e4112b689b7/416x416.jpg?background=000000&cropX1=864&cropX2=4200&cropY1=0&cropY2=3334,Telecom,"internet, telecom",22.7,
7722,Serge Dassault,93.0,Male,,https://specials-images.forbesimg.com/imageserve/5a7dfc4a31358e4955ad0b78/416x416.jpg?background=000000&cropX1=598&cropX2=3315&cropY1=99&cropY2=2816,Diversified,diversified,22.6,
6980,Stefan Quandt,52.0,Male,Germany,https://specials-images.forbesimg.com/imageserve/56c7cdc0e4b062f6b59a2400/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=3&cropY2=743,Automotive,BMW,22.0,
8692,Yang Huiyan,35.0,Female,China,https://specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602,Real Estate,real estate,21.9,
7771,Paul Allen,65.0,Male,United States,https:http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601,Technology,"Microsoft, investments",21.7,
7830,Leonardo Del Vecchio,83.0,Male,Italy,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440,Fashion & Retail,eyeglasses,21.2,0.99
2077,Dieter Schwarz,78.0,Male,Germany,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440,Fashion & Retail,retail,20.9,
1596,Thomas Peterffy,73.0,Male,Hungary,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839,Finance and Investments,discount brokerage,20.3,
1462,"Theo Albrecht, Jr.",67.0,Male,Germany,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839,Fashion & Retail,"Aldi, Trader Joe's",20.2,
6355,Len Blavatnik,61.0,Male,,https://specials-images.forbesimg.com/imageserve/59d50f2831358e542c034f95/416x416.jpg?background=000000&cropX1=963&cropX2=2028&cropY1=234&cropY2=1299,Diversified,diversified,20.2,0.62
6226,He Xiangjian,75.0,Male,China,https://specials-images.forbesimg.com/imageserve/5a7cb54ca7ea431690130761/416x416.jpg?background=000000&cropX1=210&cropX2=1953&cropY1=660&cropY2=2404,Manufacturing,home appliances,20.1,0.7
1731,Lui Che Woo,89.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e7153a7ea431690132553/416x416.jpg?background=000000&cropX1=1591&cropX2=4746&cropY1=14&cropY2=3168,Gambling & Casinos,casinos,20.1,
8804,James Simons,80.0,Male,,https://specials-images.forbesimg.com/imageserve/5a8d914e4bbe6f2652f61c2f/416x416.jpg?background=000000&cropX1=2670&cropX2=3520&cropY1=341&cropY2=1190,Finance and Investments,hedge funds,20.0,
5353,Henry Sy,93.0,Male,China,https://specials-images.forbesimg.com/imageserve/5a8ed22d31358e4955ae072b/416x416.jpg?background=000000&cropX1=568&cropX2=3083&cropY1=131&cropY2=2647,Diversified,diversified,20.0,
