SearchName,Nationality
Frank_Stronach,Austria
Kevin_Systrom,U.S.
Tang_Hsiang-Chien,
Ning_Tang,
Jim_Thompson,
Jonathan_Tisch,
Kenneth_Tuchman,
Wim_Van_Der_Leegte,Netherlands
Shamsheer_Vayalil,India
Arkady_Volozh,Kazakhstan
Stefan_Von_Holtzbrinck,
Wang_Jiufang,
Wong_Hong_King,
Ian_Wood,
Xiao_Chunhong,
Jacky_Xu,
Zhang_Tao,
Anu_Aga,India
Farkhad_Akhmedov,
Alberto_Alcocer,
Bassam_Alghanim,
Vasily_Anisimov,Russia
Mori_Arkin,Israel
Nigel_Austin,
Krishna_Kumar_Bangur,
R.G._Chandramogan,
Chang_Pyung-Soon,
Chao_Teng-Hsiung,
Chen_Liying,China
Chey_Ki-Won,
Chi_Yufeng,China
Chua_Thian_Poh,
Chung_Yong-Jin,
Alberto_Cortina,Spain
"Robert_Coyiuto,_Jr.",
Maria_Del_Pino_Y_Calvo-Sotelo,
K._Dinesh,
David_Einhorn,
Bob_Ell,Wales
Gary_Fegel,
Alan_Gerry,
Polys_Haji-Ioannou,Cyprus
J._Tomilson_Hill,
Hoi_Kin_Hong,China
George_Joseph,
Nimesh_Kampani,
Pyotr_Kondrashev,
Yuri_Kovalchuk,Russia
James_Leininger,
Li_Guoqiang,
Liu_Ko-Chen,
Ma_Hong,
Gary_Magness,
Youssef_Mansour,Egypt
Dariusz_Milek,
Nan_Cunhui,
Oei_Hong_Leong,
Rubens_Ometto_Silveira_Mello,
Ou_Xueming,
Victor_Pinchuk,Ukraine
Marina_Prada,
Forrest_Preston,U.S.
Jerry_Reinsdorf,
Fernando_Roig,Spain
Subhash_Runwal,
Yoshiyuki_Sankai,Japan
Shin_Dong-Bin,
Jasminder_Singh,U.K.
Martua_Sitorus,
Manny_Stul,Germany
Fuat_Tosyali,
Rufino_Vigil_Gonzalez,
Farris_Wilks,
Thomas_Wu,
Yuan_Fugen,
"Richard_Yuengling,_Jr.",U.S.
Gavril_Yushvaev,
Zeng_Kaitian,
Zhang_Yubai,
Changpeng_Zhao,China
Zhou_Yifeng,
Zhou_Yongli,
Zhu_Wenchen,
Ahmet_Nazif_Zorlu,
Len_Ainsworth,
Markus_Blocher,Switzerland
Steve_Case,U.S.
Jeffrey_Cheah,
Ivan_Chrenko,Slovakia
Eduardo_Cojuangco,
Andrea_Della_Valle,
Jamie_Dimon,U.S.
Charles_Dunstone,England
Bruce_Flatt,
Soichiro_Fukutake,Japan
Gao_Yunfeng,
Anne_Gittinger,U.S.
Clelia_Haji-Ioannou,Cyprus
Ronnen_Harary,Canada
Ayman_Hariri,
Fahd_Hariri,
Archie_Hwang,
Mitchell_Jacobson,
Rana_Kapoor,
Alexander_Karp,U.S.
Habil_Khorakiwala,
Andre_Koo,
Lee_Ho-Jin,
Solomon_Lew,Australia
Rodney_Lewis,U.S.
Lin_Fanlian,
Lin_Jianhua,Mongolia
Lin_Tianfu,
Louise_Lindh,Sweden
Jose_Llado_Fernandez-Urrutia,
John_Macmillan,
Martha_Macmillan,
William_Macmillan,
Katarina_Martinson,Sweden
Bruce_Nordstrom,U.S.
Pierre_Karl_Péladeau,
David_Penaloza_Alanis,
Andreas_Pohl,
"Reinfried_Pohl,_Jr.",
Mahendra_Prasad,
Anton_Rabie,Canada
Ginia_Rinehart,
Alexander_Rovt,
Lily_Safra,Brazil
Leonard_Schleifer,
Bhadresh_Shah,
Nobutoshi_Shimamura,
Helmut_Sohmen,Austria
Sun_Qinghuan,
Sun_Yinhuan,
Djoko_Susanto,
Erol_Tabanca,
Alexander_Tedja,
Ayhan_Tosyali,
Fatih_Tosyali,
Tran_Dinh_Long,
Tsai_Ming-Kai,Taiwan
Pavel_Tykac,
Jayshree_Ullal,England
Wang_Muqing,
Wang_Yong,
Gordon_Wu,
Wu_Lanlan,
Yang_Meirong,
Yang_Tingdong,
You_Xiaoping,
Yu_Peidi,
Zan_Shengda,
Zhao_Weiguo,
Zheng_Jianjiang,
Hamad_Bin_Jassim_Bin_Jaber_Al_Thani,
Fawzi_Al-Kharafi,Kuwait
Isak_Andic,Turkey
Marc_Andreessen,U.S.
Jose_Maria_Aristrain,
Thomas_Bailey,
Harindarpal_Banga,
Eduardo_Belmont_Anderson,
Tomasz_Biernacki,
Brett_Blundy,
Henadiy_Boholyubov,Ukraine
Amit_Burman,
Chen_Bo,
Phongthep_Chiaravanont,
Kochouseph_Chittilappilly,India
Chu_Jinfu,
Eduardo_Costantini,Argentina
Sol_Daurella,
Philip_Day,
Norbert_Dentressangle,
Mark_Dixon,
Gleb_Fetisov,
Donald_Foss,U.S.
Robert_Friedland,
Fu_Guangming,
Gu_Wei,
Alfredo_Harp_Helu,
Gudrun_Heine,
Francis_Holder,
Douglas_Hsu,
Jiang_Zhaobai,
Ajay_Kalsi,
Helga_Kellerhals,
King_Pak_Fu,
Sergei_Kolesnikov,
Eiichi_Kuriwada,
Lee_Hae-Jin,
Michael_Lee-Chin,Jamaica
Li_Jun,
Lim_Wee_Chai,
Liu_Jiang,
Lo_Siu-Tong,
Tobi_Lutke,Germany
Ziyavudin_Magomedov,Russia
Ana_Maria_Marcondes_Penido_Sant'Anna,
Terence_(Terry)_Matthews,
Kentaro_Ogawa,
Erik_Paulsson,Sweden
Stefan_Pierer,
Michael_Price,
Boris_Rotenberg,
Stephen_Saad,South Africa
K._Rai_Sahi,
Airat_Shaimiev,
Radik_Shaimiev,
Mikhail_Shelkov,
S.D._Shibulal,India
Leonid_Simanovsky,
Samprada_Singh,India
Terry_Snow,Australia
Lynsi_Snyder,U.S.
Sybill_Storz,
Harjo_Sutanto,
Yoshikazu_Tanaka,
Tian_Ming,
Ion_Tiriac,Romania
Ivar_Tollefsen,
Thomas_Tull,U.S.
John_Van_Lieshout,Netherlands
Wang_Han,
Wang_Junjin,
"Alfred_West,_Jr.",
Wu_Daohong,
Wu_Yiling,
Xiu_Laigui,
Xue_Hua,
Zhang_Cheng_Fei,
Zhang_Jingzhang,
Zhang_Xuanning,
Zhang_Zhangsun,
Zhou_Bajin,
Zhou_Wenyu,
William_Ackman,U.S.
Chirayu_Amin,India
Mehmet_Aydinlar,
Emanuella_Barilla,
Guido_Barilla,Italy
Luca_Barilla,Italy
Paolo_Barilla,Italy
Mehmet_Rustu_Basaran,Turkey
Hideyuki_Busujima,Japan
Cai_Rongjun,
Delfin_Jorge_Ezequiel_Carballo,
Chen_Jinshi,
Chen_Qixing,
Chen_Shiliang,
Prathip_Chiravanond,
Gustavo_Cisneros,Venezuela
Dang_Yanbao,
Bharat_Desai,
Andrei_Filatov,
Paul_Fireman,U.S.
Fu_Kwan,
Sheela_Gautam,India
Drew_Houston,U.S.
Huang_Wen_Tsai,
Hiroshi_Ishibashi,
Chatchai_Kaewbootta,
Jonas_Kamprad,Sweden
Mathias_Kamprad,
Peter_Kamprad,
Madhu_Kapur,
Richard_Kayne,U.S.
Vladimir_Kogan,
Isaac_Larian,
Lee_Sang-Hyuk,
Randolph_Lerner,U.S.
David_Xueling_Li,
Li_Weiguo,
Liang_Feng,
Liang_Guangwei,
Liao_Chang,
Jenny_Lindén_Urnes,
Liu_Zhendong,
Liu_Zhiqiang,
Jonathan_Lu,
William_Macaulay,
Yves-Loic_Martin,
Konstantin_Nikolaev,
Michael_O'Leary,
Niti_Osathanugrah,
Frank_Otto,
Andrei_Rappoport,
Andrea_Reimann-Ciardelli,Germany
Igor_Rotenberg,Russia
Alan_Rydge,
Chris_Sacca,U.S.
Alexander_Samwer,
Marc_Samwer,
Neil_Shen,
Albert_Shigaboutdinov,
Shin_Dong-Joo,
Yoshiko_Shinohara,Japan
Analjit_Singh,India
Stephen_Smith,
Michael_Steinhardt,U.S.
Svein_Stole,
Rustem_Sulteev,
Julio_Patricio_Supervielle,
Min-Liang_Tan,Singapore
Hary_Tanoesoedibjo,
Tiong_Hiew_King,Malaysia
Laurie_Tisch,U.S.
Steven_Tisch,
James_Truchard,
Vardis_Vardinoyannis,Greece
Murat_Vargi,Turkey
Wan_Lianbu,
Wen_Jianping,
Myron_Wentz,
Swift_Xie,
Yao_Jinbo,
Fatma_Tuba_Yazici,
Zhang_Zhirong,
Zhao_Yan,
Sara_Blakely,U.S.
Pete_Bodharamik,
Cao_Kejian,
Morris_Chang,
Cho_Yang-Rai,
Eduard_Chukhlebov,
John_Collison,Ireland
Patrick_Collison,Ireland
Henry_Davis,
Susumu_Fujita,
David_Hall,
Elie_Horn,Syria
Masayuki_Ishihara,
Tarang_Jain,India
Jiang_Xuefei,
Morris_Kahn,South Africa
"Anton_Kathrein,_Jr.",Germany
Kim_Dae-Il,
Michael_Kim,
Igor_Kudryashkin,
Lev_Kvetnoi,
Paul_Little,
Liu_Fuhai,
Liu_Jincheng,
Lu_Weiding,
George_Marcus,
Mi_Enhua,
Lowell_Milken,
Martin_Naughton,
Sergei_Petrov,
Carolyn_Rafaelian,
Sathien_Setthasit,
Evan_Sharp,U.S.
Ravindra_Kishore_Sinha,India
Axel_Stawski,Germany
Beny_Steinmetz,
Dirk_Stroeer,
Sun_Shangchuan,
Sam_Tarascio,Italy
Robert_Toll,
V._Prem_Watsa,
Wu_Chung-Yi,
Yang_Jianxin,
Zhou_Liangzhang,
Zhuo_Jun,
Olgun_Zorlu,
